#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,rate_HOTP_SOI [kHz],MB1_LQ,rate_MB1_LQ [kHz],isolatedMB1_LQ,rate_isolatedMB1_LQ [kHz],isolatedMB1_LQ_withHOTP_SOI,rate_isolatedMB1_LQ_withHOTP_SOI [kHz],unisolatedMB1_LQ,rate_unisolatedMB1_LQ [kHz],unisolatedMB1_LQ_withHOTP_SOI,rate_unisolatedMB1_LQ_withHOTP_SOI [kHz],MB1_HQ,rate_MB1_HQ [kHz],isolatedMB1_HQ,rate_isolatedMB1_HQ [kHz],isolatedMB1_HQ_withHOTP_SOI,rate_isolatedMB1_HQ_withHOTP_SOI [kHz],unisolatedMB1_HQ,rate_unisolatedMB1_HQ [kHz],unisolatedMB1_HQ_withHOTP_SOI,rate_unisolatedMB1_HQ_withHOTP_SOI [kHz]
297287,0.000250,96023,212202,53822,22420.461764,4425,614.436125,1043,144.826413,80,11.108450,114,15.829541,13,1.805123,8252,1145.836588,701,97.337791,96,13.330140,73,10.136460,13,1.805123
297288,0.000267,93899,204495,51844,22085.006230,4102,582.469817,988,140.292584,68,9.655765,95,13.489672,12,1.703959,7929,1125.890585,674,95.705670,88,12.495696,95,13.489672,16,2.271945
297289,0.000267,93859,201332,50576,21554.033177,4154,590.105016,1037,147.313168,70,9.943994,87,12.358964,14,1.988799,7875,1118.699326,678,96.314685,101,14.347763,83,11.790736,15,2.130856
297290,0.000267,92673,195804,50180,21658.951367,4107,590.894867,1003,144.306684,68,9.783504,74,10.646754,7,1.007125,7606,1094.313698,631,90.785162,72,10.359004,84,12.085505,19,2.733626
297291,0.000235,106074,222231,56499,21305.503705,4528,569.162409,1140,143.296189,82,10.307270,97,12.192746,18,2.262571,8767,1101.997976,741,93.142523,81,10.181571,94,11.815651,13,1.634079
297494,0.000286,228287,380048,95696,16767.665263,7656,447.156430,2034,118.797829,143,8.352060,141,8.235248,21,1.226526,14398,840.929765,1176,68.685470,150,8.760902,169,9.870616,22,1.284932
297495,0.000312,105503,240422,60571,22964.655034,4743,599.414235,1136,143.566218,72,9.099267,88,11.121327,18,2.274817,8872,1121.231940,830,104.894332,94,11.879599,79,9.983918,10,1.263787
297496,0.000304,148333,336047,84873,22887.152555,6667,599.282246,1657,148.944155,113,10.157326,135,12.134859,14,1.258430,12407,1115.238461,1065,95.730552,137,12.314634,135,12.134859,24,2.157308
297497,0.000312,100818,224249,57061,22639.211252,4429,585.741964,1081,142.963889,86,11.373630,107,14.150912,18,2.380527,8422,1113.822267,692,91.518049,114,15.076673,93,12.299391,12,1.587018
297498,0.000267,100514,220211,55214,21972.660525,4412,585.258438,979,129.865823,65,8.622348,97,12.867196,15,1.989773,8340,1106.313548,703,93.254008,85,11.275378,85,11.275378,16,2.122424
297499,0.000312,103056,222046,56286,21846.762925,4522,585.054081,1144,148.010143,82,10.609119,95,12.291052,15,1.940692,8277,1070.874088,658,85.131708,94,12.161673,84,10.867878,20,2.587590
297501,0.000294,110968,230081,58029,20917.381587,4543,545.863072,1106,132.891164,90,10.813928,83,9.972845,14,1.682167,8674,1042.222382,759,91.197462,90,10.813928,103,12.375940,18,2.162786
297502,0.000312,108440,225279,56842,20967.170786,4562,560.924628,1063,130.702078,80,9.836469,98,12.049674,14,1.721382,8468,1041.190213,696,85.577278,77,9.467601,75,9.221689,11,1.352514
297503,0.000250,27153,55948,14209,20931.757080,1113,546.532611,269,132.090991,16,7.856713,32,15.713426,2,0.982089,2036,999.766754,164,80.531310,23,11.294025,18,8.838802,3,1.473134
297557,0.000316,259838,595260,149442,23005.411064,11877,609.456661,2959,151.838197,201,10.314119,246,12.623250,24,1.231537,22561,1157.695692,1924,98.728182,245,12.571936,251,12.879820,37,1.898619
297562,0.000200,345416,499426,126329,14629.200732,9771,377.168400,2470,95.343972,193,7.449954,195,7.527156,31,1.196625,18816,726.312620,1656,63.922922,221,8.530776,186,7.179748,29,1.119423
297605,0.000182,21232,26606,6739,12695.930671,507,318.387340,140,87.917609,8,5.023863,10,6.279829,1,0.627983,978,614.167295,83,52.122582,10,6.279829,16,10.047727,3,1.883949
